福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
福建省九兴投资有限责任公司	总经理：陈	地址：闽侯县甘蔗街道校园路21号后
福建优建建筑科技有限公司	总经理：蔡	地址：福建省福州市闽侯县上街镇科技东路3号福州高新区海西高新技术产业园创新园一期10#楼1
闽侯县南通方敏生服装加工场	联系人：方	地址：福建省福州市闽侯县南通镇方庄村
闽侯县闽旺农业专业合作社	联系人：林	地址：福建省福州市闽侯县白沙镇上岐村上岐70号
闽侯县富城农业专业合作社	联系人：林	地址：闽侯县廷坪乡汶合村九里11号
闽侯县洋里德群家庭农场	联系人：陈	地址：福建省福州市闽侯县洋里乡绅带村桥里自然村水槽亭
闽侯县鸿尾耕慧家庭农场	联系人：陈	地址：福建省福州市闽侯县鸿尾乡南坑村
福建溪源种德生态农业有限公司	总经理：潘	地址：闽侯县上街镇溪源宫村罗丰片
福州宏华家居制造有限公司	总经理：黄	地址：福建省福州市闽侯县竹岐乡榕西村中埕67号厂房三层
福州鸿祥运输有限公司	总经理：卢	地址：福建省福州市闽侯县南屿镇忠观街3号旗山商贸街商住楼9号楼1层07店面
闽侯县大山里工艺品商行	联系人：黄	地址：福建省福州市闽侯县上街镇上街四房（林友钦宅）
福建华粮米业有限公司	总经理：林	地址：福建省福州市闽侯县荆溪镇福州市粮食批发交易市场1座19号
闽侯县南通镇洲头跳龙门锦鲤育苗场	联系人：黄	地址：福建省福州市闽侯县南通镇洲头村里洋
福州云众数据科技有限公司	总经理：林	地址：福建省福州市闽侯县科技东路3号福州高新区海西高新技术产业园创新园一期10#楼1层158室
福建蓝城信息科技有限公司	总经理：林	地址：福建省福州市闽侯县科技东路3号福州高新区海西高新技术产业园创新园一期10#楼1层166室
闽侯县五福茶叶有限公司	总经理：洪	地址：闽侯县五福茶叶有限公司
福建久策气体销售有限公司	总经理：何	地址：福建省福州市闽侯县南屿镇117县道新联村福州高新区两园安置房一期一标段裙楼三层3-002
福州海峡龙祥建设有限责任公司	总经理：彭	地址：闽侯县祥谦镇福厦公路（324）国道西侧21公里处
福建鑫善源农业开发有限公司	总经理：林	地址：福建省福州市闽侯县尚干镇后村村后埕1号
闽侯县丰达竹木制品有限公司	总经理：方	地址：闽侯县竹岐乡竹岐村
福州市闽侯县王府建材有限公司	总经理：陈	地址：福州市闽侯县祥谦镇辅翼村福建豪峰金属制品有限公司厂房三整座
福州迁旺家家居股份有限公司	总经理：李	地址：福建省福州市闽侯县上街镇马保村闽侯县艺根玻璃有限公司4#厂房3楼
闽侯县仙门山食用菌专业合作社	联系人：王	地址：福建省闽侯县洋里乡仙门村岩头4号
闽侯县墨轩教育咨询有限公司	总经理：洪	地址：福州市闽侯县上街镇蔗洲村学生街2号楼211室
闽侯县鸿尾紫藤家庭农场	联系人：罗	地址：福建省福州市闽侯县鸿尾乡南坑村
福州臻顺建筑劳务有限公司	总经理：陈	地址：闽侯县上街镇沙堤村中洲片
福建森朗贸易有限公司	总经理：林	地址：福建省福州市闽侯县甘蔗街道入城路东方花园6#501
闽侯县旭丰工艺品有限公司	总经理：方	地址：闽侯县南通镇方庄
福州兴诺机械工业有限公司	总经理：卢	地址：福建省福州市闽侯县南屿镇高岐村福州海量管道器材有限公司6#综合整座
福州博红森实业有限公司	总经理：陈	地址：福建省福州市闽侯县上街镇建平村金上大道博仕后家园1#06店
福州印象行天下汽车租赁有限公司	总经理：林	地址：福建省福州市闽侯县祥谦镇中院村中院47号
福州市邂逅巴黎餐饮管理有限公司	总经理：李小姐	地址：福州市闽侯县上街镇庄南村博仕后缘墅
福州经炜家居饰品有限公司	总经理：沈	地址：闽侯县甘蔗街道大元村
闽侯县鸿尾乡雪英农林综合场	联系人：谢	地址：福建省福州市闽侯县鸿尾乡南元村垄门池
福州泰茂机电科技有限公司	总经理：罗	地址：闽侯县青口镇新城西路58号博雅星城凯景大酒店910单元
闽侯县白沙后义洋农业综合开发示范场	联系人：张	地址：福建省福州市闽侯县白沙镇安平路67号
福州快捷快递有限公司	总经理：杨	地址：闽侯县祥谦镇辅澜路3号1#厂房整座
福州亚鼎汽车贸易有限公司	总经理：李	地址：福州市闽侯县青口镇宏四村马路街50号茂泰花园1#楼1层07店面
福州闽都网络技术工程有限公司	总经理：余	地址：闽侯县
闽侯县华盛农业专业合作社	联系人：聂	地址：闽侯县廷坪乡池坑村上弯37号
福州鑫时尚家纺有限公司	总经理：王	地址：闽侯县荆溪镇光明村
福州众行汽车销售有限公司	总经理：张	地址：福建省福州市闽侯县尚干镇祥通路11-2号
福州银宝汽车服务有限公司	总经理：许	地址：福州市闽侯县尚干镇良安路8号江浩尚景园5号楼806
闽侯县大邱坪生态种养殖专业合作社	联系人：朱	地址：闽侯县鸿尾乡古洋村外境16号
闽侯县新春医药有限公司	总经理：王	地址：闽侯县上街镇国宾大道2号博仕后公馆商业广场A12#楼一层24、25店面
福州贝林工艺品有限公司	总经理：肖	地址：闽侯县荆溪镇荆溪村
福建经帆建筑劳务有限公司	总经理：马	地址：福建省闽侯县上街镇沙堤村后街66号
福州佶盛典当行有限公司	总经理：周	地址：福建省福州市闽侯县甘蔗街道昙石山东大道10号综合楼一层
闽侯县新晖企业管理有限公司	总经理：郑	地址：闽侯县甘蔗街道昙石山西大道98号新城丽景B区10#楼2层212店面
福州阳光钱柜音乐会所有限公司	总经理：林	地址：福建省闽侯县青口镇付竹村富竹大厦三层
闽侯县上街美刻妆容美容中心（普通合伙）	联系人：杨	地址：福建省福州市闽侯县上街镇博仕后公馆3号楼3-4号店
闽侯县总部园房地产有限公司	总经理：林	地址：闽侯县甘蔗街道八一八西路185号
福建长大建设有限公司	总经理：林	地址：闽侯县甘蔗街道昙石山西大道98号新城丽景B区12#楼503单元
闽侯县如果电子商务有限公司	总经理：卢	地址：福建省福州市闽侯县南通镇街西排东起第六直
闽侯县益康生农业专业合作社	联系人：鄢	地址：闽侯县五都村榜尾洋
福州联亿汽车配件有限公司	总经理：林	地址：闽侯县祥谦镇兰圃村住宅小区
闽侯县富利民食品有限公司	总经理：吕	地址：闽侯县竹岐乡竹岐村
闽侯县峰龙山农业专业合作社	联系人：何	地址：闽侯县白沙镇白沙村
闽侯县肆年传媒有限公司	总经理：周	地址：闽侯县上街镇岐安村（福州地区大学新校区体育场地东南附属楼）
世纪民生（福州）蔬菜有限公司	总经理：林	地址：闽侯县南通镇福州市海峡蔬菜批发市场精品场位106号
闽侯县华烨工艺品有限公司	总经理：王	地址：闽侯县荆溪镇港头村坛山29号
福州市甲午农业开发有限公司	总经理：欧	地址：福州市闽侯县竹岐乡竹岐村虎鼻头
福州泓一金属制品有限公司	总经理：王	地址：闽侯县竹岐乡竹西溪口116号2号厂房
福州智能时代电子科技有限公司	总经理：赖	地址：福建省福州市闽侯县科技东路3号福州高新区海西高新技术产业园创新园10#楼1层142室
闽侯县宏丰达金属制品有限公司	总经理：郭	地址：闽侯县祥谦镇中院村（原祥谦中院中心小学内）
福州佳胜贸易有限公司	总经理：吴	地址：福建省福州市闽侯县青口镇宏四村
福州有聊影视文化有限公司	总经理：盘	地址：福建省福州市闽侯县科技东路8号福州高新区海西高新技术产业园创业大厦B区1层159室
闽侯县鑫瑞杰贸易有限公司	总经理：李	地址：闽侯县大湖乡珍山村1号
福州新竹科技园发展有限公司	总经理：何	地址：福建省福州市闽侯县科技东路8号福州高新区海西高新技术产业园创业大厦B区2层205室
闽侯县尚干鸿哲商务信息咨询服务部	老板：吴	地址：福建省福州市闽侯县尚干镇新榕路1号新榕小区02幢19号店铺
闽侯县若水生花生物科技有限公司	总经理：张	地址：闽侯县上街镇岐安村（福州地区大学新校区体育场地东南附属楼）
福州卓尔物流有限公司	总经理：杨	地址：福州市闽侯县祥谦镇辅澜路3号福州皇杰实业有限公司研发楼五层501室
闽侯县彦铭贸易有限公司	总经理：徐	地址：闽侯县甘蔗街道洽浦村洽浦193号
福州盛科计算机网络信息技术有限公司	总经理：叶	地址：闽侯县上街镇岐安村（福州地区大学城新校区体育场地东南附属楼）
福州鑫辉达设备租赁有限公司	总经理：林	地址：福州市闽侯县上街镇浦口村
福建荣捷万仕德汽车销售服务有限公司	总经理：姜	地址：福建省福州市闽侯县青口镇新城西路62号博雅星城16#楼16店面
福州上仟贸易有限公司	总经理：陈	地址：福州市闽侯县上街镇建平路99号福建高速物流园12#130-131
闽侯县永诚包装制品有限公司	总经理：宋	地址：福建省福州市闽侯县甘蔗街道大元巷102号
福州亚博天汽车贸易有限公司	总经理：念	地址：福建省闽侯县青口镇新城路62号博雅星城2#楼1层03店面
闽侯县野狼贸易有限公司	总经理：林	地址：闽侯县上街镇美岐小区二期5座107室
福州城森园林景观工程有限公司	总经理：唐	地址：福建省福州市闽侯县南屿镇南前村土溪厝3号
福州市情定依身贸易有限公司	总经理：王	地址：闽侯县上街镇岐头村5-6号
闽侯县洋里诗尧工艺品加工场	联系人：江	地址：福建省福州市闽侯县洋里乡洋里村洋里街西路107号
上海奉贤建设发展（集团）有限公司福州分公司	总经理：钱	地址：福建省福州市闽侯县南屿镇旗山集中工业区8号楼二层
闽侯县千家山农业专业合作社	联系人：林	地址：闽侯县甘蔗镇军民路12号五层楼房
闽侯县众彩广告传媒有限公司	总经理：林	地址：闽侯县祥谦镇枕峰村上塘125号
福州三友装修有限公司	总经理：畅	地址：福建省福州市闽侯县甘蔗街道入城路南侧
青峰（福州）传媒有限公司	总经理：林	地址：闽侯县青口镇升旗村青口街53号
福州市闽侯县圆柏贸易有限公司	总经理：毛	地址：福建省福州市闽侯县上街镇国宾大道338号英泰第一城B区商住楼5#619单元
闽侯县祥顺农林开发有限公司	总经理：邓	地址：福建省福州市闽侯县竹岐乡竹岐村
福州秋实园贸易有限公司	总经理：陈	地址：福州市闽侯县上街镇庄南路1号“博仕后缘墅“E2#103
闽侯县仙和祥原生态农业有限公司	总经理：王	地址：福建省福州市闽侯县洋里乡仙门村坝头自然村3号
福州三友和贸易有限公司	总经理：陈	地址：闽侯县甘蔗街道昙石山西大道98号新城丽景B区10#楼2层214店面
福建神州美景健康管理有限公司	总经理：陈	地址：福州市闽侯县科技东路8号福州高新区海西高新技术产业园创业大厦B区1层157室
福建根艺达工艺品有限公司	总经理：陈	地址：福建省闽侯县上街镇国宾大道1号闽都大庄园沿街商住9#楼1层147店面
福州市闽侯县科阳金属制品有限公司	总经理：陈	地址：福州市闽侯县上街镇沙堤村（闽侯县鑫龙寿五金机械有限公司）2#厂房4层405
福州九易传媒有限公司	总经理：林	地址：闽侯县甘蔗街道入城路横屿233号一楼店面
福建省煜景装饰设计有限公司	总经理：聂	地址：闽侯县上街镇国宾大道276号综合商场7层
福州菜鸟工艺品有限公司	总经理：蔡	地址：闽侯县上街镇闽都大庄园165号店面
闽侯县鸿尾莲棋大排档	联系人：刘	地址：福建省福州市闽侯县鸿尾乡114县道排洪沟（刘兴棋厝）
闽侯县荆溪流朱溢墨脱胎漆艺坊	联系人：上	地址：福建省福州市闽侯县荆溪镇古山洲村（五楼）
闽侯县南屿意程家具商场	联系人：王	地址：闽侯县南屿镇南旗村
闽侯县古将贸易有限公司	总经理：冯	地址：福州市闽侯县上街镇乌龙江北大道1号福州地区大学新校区教师生活区B区B4#楼1504单元
闽侯县上街鸿艺工艺品加工厂	厂长：宋	地址：闽侯县上街镇新峰村杏山39号一层
闽侯县绿网餐饮管理有限公司	总经理：瞿	地址：闽侯县甘蔗街道员工公寓18#D-12号
闽侯县上街书香领寓金海岸房产中介所	所长：蒋	地址：福建省福州市闽侯县上街镇邱阳东路2号弘绘菁华园弘绘楼01店面
闽侯县洋里景丰农业专业合作社	联系人：张	地址：闽侯县洋里乡新见村堡头36号
福州恒业建材有限公司	总经理：潘	地址：闽侯县鸿尾乡奎石村长安里
上海源天绿化工程有限公司闽侯分公司	总经理：张	地址：福州市闽侯县竹岐乡榕西村316国道直升机机场
福建广咏通消防设备制造有限公司	总经理：周	地址：闽侯县鸿尾乡石佛头街107号
福建闽富华家居制造有限公司	总经理：涂	地址：福州市闽侯县竹岐乡竹西村溪口118号1#厂房一层
闽侯县青星物流有限公司	总经理：林	地址：闽侯县青口镇新城路62号博雅星城12-603
闽侯县十八溪农业开发有限公司	总经理：潘	地址：闽侯县南通镇古城村布里
福州富森纸业有限公司	总经理：强	地址：闽侯县南屿镇高岐村安厦52号
闽侯县大湖沐雨种植场	联系人：马	地址：福建省福州市闽侯县大湖乡大坪村
闽侯县永盛家纺有限公司	总经理：陈	地址：闽侯县上街镇浦口村浦南
闽侯县南屿辉旺苗木场	联系人：林	地址：闽侯县南屿镇南井村红旗村民小组
福州新能能源科技有限公司	总经理：陈	地址：福州市闽侯县甘蔗街道长江村墩园洲
福州市朝华园艺有限责任公司	总经理：张	地址：福建省福州市闽侯县南通镇桥街村
闽侯县罗峰家庭农场	联系人：邓	地址：福建省福州市闽侯县竹岐乡罗洋村际峰片
闽侯县金叶园艺有限公司	总经理：练	地址：福建省福州市闽侯县荆溪镇光明村岭尾54号
福州港尾建材有限公司	总经理：卢	地址：闽侯县竹岐乡白龙村
闽侯县鑫弘鑫铁艺配件厂	厂长：陈	地址：福建省福州市闽侯县甘蔗街道大元村
闽侯县凯锐物资再生利用有限公司	总经理：赵	地址：闽侯县上街镇沙堤村后街
盛辉物流集团有限公司闽侯高速物流园分公司	总经理：毕	地址：闽侯县上街镇建平路99号高速物流园2号楼102-107号
闽侯县善品天鸿餐饮管理有限公司	总经理：王	地址：闽侯县青口镇祥宏路268号3#厂房整座（福州全庆雨具塑料制品有限公司内）
福建青大汽车维修有限公司	总经理：郑	地址：闽侯县青口镇前街村金山加油站旁16号
闽侯县启城企业管理有限公司	总经理：黄	地址：闽侯县南屿镇南旗桥下72号
闽侯县荆溪翔源电子厂	厂长：钟	地址：闽侯县荆溪镇荆溪村徐家村165号1#厂房2层
闽侯县木禾贸易有限公司	总经理：黄	地址：闽侯县甘蔗镇化龙村818西路74号
闽侯县万德芙工艺品有限公司	总经理：周	地址：闽侯县甘蔗街道十字村旗下新村
闽侯县汇滨木制品有限责任公司	总经理：马	地址：闽侯县大湖乡大坪村
福建省康辉国际旅行社股份有限公司上街大学城营业部	老板：吴	地址：福州市闽侯县上街镇新商业街（工商银行斜对面）
福州市闽侯县至诚教育咨询有限公司	总经理：徐	地址：福州市闽侯县上街镇岐安村商业中心B号楼一层03店面
闽侯县竹岐乡半岭村兴建苏强果树场	联系人：苏	地址：福建省福州市闽侯县竹岐乡半岭村兴建自然村
闽侯县洋里供销社小箬村综合服务部	老板：刘	地址：福建省福州市闽侯县小箬乡小箬村
福州泳旭贸易有限公司	总经理：黄	地址：福建省福州市闽侯县上街镇源通东路118号福晟学府11#楼1层01店面
闽侯县上街建基医药商店第一分店	老板：林	地址：福建省福州市闽侯县上街镇厚美村104店面（上街镇政府对面）
福州齐悦塑料制品有限公司	总经理：艾	地址：福建省福州市闽侯县南通镇陈厝村
福州誉叶成汽配有限公司	总经理：叶	地址：闽侯县祥谦镇卜洲村
福州市保恩农业开发有限公司	总经理：唐	地址：闽侯县南屿镇双龙村保恩
福州市闽侯县梦飞食品有限公司	总经理：蔡	地址：闽侯县荆溪镇厚屿村食品工业园福州康旺食品有限公司5#厂房二层
闽侯县竹岐天骏日用品咨询服务部	老板：陈	地址：福建省福州市闽侯县竹岐乡榕西村石岐26号
福州市汇京时代汽车销售服务有限公司	总经理：林	地址：福建省福州市闽侯县尚干镇祥通路13号
福州德奈福洗涤有限公司	总经理：王	地址：福建省福州市闽侯县上街镇庄南路1号“博士后缘墅”E5#04店面
福州市天鹏谷成饲料有限公司	总经理：胡	地址：福建省福州市闽侯县南屿镇后山村
闽侯县南通陈培煌家具加工场	联系人：陈	地址：福建省福州市闽侯县南通镇罗洲村新桥浦1号
福州华洋保温工程有限公司	总经理：阮	地址：福建省福州市闽侯县荆溪镇闽侯经济技术开发区铁岭东路9号（4#车间）
闽侯县中庚房地产开发有限公司	总经理：梁	地址：福建省福州市闽侯县荆溪镇荆溪村197号
闽侯县鸿萃生态农业开发有限公司	总经理：罗	地址：福建省福州市闽侯县鸿尾乡大模村山边124号
闽侯县甘蔗酷胜装饰材料店	老板：高	地址：福建省福州市闽侯县甘蔗街道县城新区“世纪芳洲”
闽侯县讯锋通信工程有限公司	总经理：施	地址：福建省福州市闽侯县甘蔗街道山前亭下街66号
闽侯县大湖思惠钢筋加工场	联系人：马	地址：福建省福州市闽侯县大湖乡大坪村（圣康加油站对面）
闽侯县鱼尔乐机械有限责任公司	总经理：王	地址：闽侯县祥谦镇虎山村王厝26号
闽侯县新枝农业专业合作社	联系人：余	地址：闽侯县廷坪乡广坪村新枝1号
闽侯县溪头农业综合开发有限公司	总经理：王	地址：闽侯县白沙镇溪头村溪头79号
闽侯县乐建农业开发有限公司	总经理：杨	地址：闽侯县鸿尾乡鸿尾村上门限11号
闽侯县靓家贸易有限公司	总经理：林	地址：闽侯县青口镇宏三村
闽侯县加特林贸易有限公司	总经理：杨	地址：闽侯县青口镇青口投资区义溪路98号1#厂房
闽侯县后洋农业专业合作社	联系人：宋	地址：闽侯县大湖乡后洋村43号
闽侯县鸿桥都市农业专业合作社	联系人：章	地址：闽侯县鸿尾乡桥头村坂头
闽侯县福香源餐饮管理有限公司	总经理：郑	地址：闽侯县青口镇宏二村
闽侯县柏利莱家具贸易有限公司	总经理：余	地址：闽侯县南屿镇高岐村安里6号3#厂房第二层
华腾实业（福建）有限公司闽侯分公司	总经理：俞	地址：闽侯县荆溪镇古山洲村洲头268号5#厂房整座
福州中鑫之宝汽车销售服务有限公司	总经理：林	地址：闽侯县青口镇义溪路88号8#展厅第一层
福州市卫农农资有限公司	总经理：徐	地址：闽侯县竹岐乡竹岐村竹岐街357号一层
福州市闽侯县永福超人汽车租赁有限公司	总经理：林	地址：福州市闽侯县上街镇建平路50号博仕后家园6#楼401单元
福州精工泡塑制品有限公司	总经理：林	地址：闽侯县祥谦镇泮洋村福州泮洋野营用品有限公司内2号厂房3层
福州恒荣机械工程有限公司	总经理：袁	地址：闽侯县青口镇壶山村千家花园26号店面
福建晟哲自动化科技有限公司	总经理：张	地址：闽侯县荆溪镇光明村上沙58号1#楼
福建启航置业有限公司	总经理：林	地址：闽侯县甘蔗街道闽侯大桥西侧
福建大旭光电有限公司	总经理：刘	地址：闽侯县竹岐溪口工业小区（竹西村溪口116号）
法兴华宝汽车租赁（上海）有限公司福州分公司	总经理：李	地址：闽侯县青口镇杨厝村、泸屿村（福州宝井钢材有限公司综合楼102）
